task_type,session_name,run_dir,model_name,size,shortlisted,recommended
classification,onnxrt,cl-6550_onnxrt_imagenet1k_edgeai-tv2_resnext50_32x4d_lite_wt-v2_20230920_onnx,ONR-CL-6550-resNeXt50-32x4d-wtv2-224,114437829,False,False
classification,onnxrt,cl-6560_onnxrt_imagenet1k_edgeai-tv2_resnext101_32x8d_lite_wt-v2_20230920_onnx,ONR-CL-6560-resNeXt101-32x8d-wtv2-224,404240623,False,False
classification,onnxrt,cl-6570_onnxrt_imagenet1k_edgeai-tv2_regnet_x_1_6gf_lite_wt-v2_20230920_onnx,ONR-CL-6570-regNetX-1.6gf-wtv2-224,42324661,False,False
classification,onnxrt,cl-6580_onnxrt_imagenet1k_edgeai-tv2_regnet_x_400mf_lite_wt-v2_20230920_onnx,ONR-CL-6580-regNetX-400mf-wtv2-224,25659128,False,False
classification,onnxrt,cl-6590_onnxrt_imagenet1k_edgeai-tv2_regnet_x_800mf_lite_wt-v2_20230920_onnx,ONR-CL-6590-regNetX-800mf-wtv2-224,33546753,False,False
classification,onnxrt,cl-6600_onnxrt_imagenet1k_edgeai-tv2_mobilenet_v2_wt-v2_20240904_model_onnx,ONR-CL-6600-mobileNetV2-wtv2-224,16452736,False,False
classification,onnxrt,cl-6720_onnxrt_imagenet1k_hf-transformers_levit_128_224_simp_onnx,ONR-CL-6720-LeViT-128-transformer-224,44250746,False,False
classification,onnxrt,cl-6721_onnxrt_imagenet1k_hf-transformers_levit_256_224_simp_onnx,ONR-CL-6721-LeViT-256-transformer-224,89377980,False,False
depth_estimation,onnxrt,de-7300_onnxrt_nyudepthv2_fast-depth_fast-depth_onnx,ONR-DE-7300-depth-est-fast-depth-224x224,6526814,False,False
depth_estimation,onnxrt,de-7310_onnxrt_nyudepthv2_MiDaS_midas-small_onnx,ONR-DE-7310-depth-est-midas-small-256x256,77649417,False,False
detection,tflitert,od-2000_tflitert_coco_mlperf_ssd_mobilenet_v1_coco_20180128_tflite,TFL-OD-2000-ssd-mobV1-coco-mlperf-300x300,31407455,True,False
detection,tflitert,od-2010_tflitert_coco_mlperf_ssd_mobilenet_v2_300_float_tflite,TFL-OD-2010-ssd-mobV2-coco-mlperf-300x300,74630744,True,False
detection,tflitert,od-2020_tflitert_coco_tf1-models_ssdlite_mobiledet_dsp_320x320_coco_20200519_tflite,TFL-OD-2020-ssdLite-mobDet-DSP-coco-320x320,33436948,True,True
detection,tflitert,od-2030_tflitert_coco_tf1-models_ssdlite_mobiledet_edgetpu_320x320_coco_20200519_tflite,TFL-OD-2030-ssdLite-mobDet-EdgeTPU-coco-320x320,19757879,True,False
detection,tflitert,od-2070_tflitert_coco_tf2-models_ssd_mobilenet_v1_fpn_640x640_coco17_tpu-8_tflite,TFL-OD-2070-ssd-mobV1-fpn-coco-tpu-8-640x640,115027819,False,False
detection,tflitert,od-2080_tflitert_coco_tf2-models_ssd_mobilenet_v2_fpnlite_320x320_coco17_tpu-8_tflite,TFL-OD-2080-ssd-mobV2-fpnlite-coco-tpu-8-320x320,10735456,True,False
detection,tflitert,od-2150_tflitert_coco_google-automl_efficientdet_lite1_relu_tflite,TFL-OD-2150-efficientDet-lite1-relu-coco-384x384,22316073,False,False
detection,tvmdlr,od-5120_tvmdlr_coco_tf1-models_ssdlite_mobiledet_dsp_320x320_coco_20200519_tflite,TVM-OD-5120-ssdLite-mobDet-DSP-coco-320x320,90955778,True,True
detection,onnxrt,od-8020_onnxrt_coco_edgeai-mmdet_ssd_mobilenetv2_lite_512x512_20201214_model_onnx,ONR-OD-8020-ssd-lite-mobv2-mmdet-coco-512x512,15237368,True,True
detection,onnxrt,od-8040_onnxrt_coco_edgeai-mmdet_ssd_regnetx-200mf_fpn_bgr_lite_320x320_20201010_model_onnx,ONR-OD-8040-ssd-lite-regNetX-200mf-fpn-bgr-mmdet-coco-320x320,10302795,True,False
detection,onnxrt,od-8200_onnxrt_coco_edgeai-mmdet_yolox_nano_lite_416x416_20220214_model_onnx,ONR-OD-8200-yolox-nano-lite-mmdet-coco-416x416,10682500,True,True
detection,onnxrt,od-8210_onnxrt_coco_edgeai-mmdet_yolox_tiny_lite_416x416_20220217_model_onnx,ONR-OD-8210-yolox-tiny-lite-mmdet-coco-416x416,23530046,True,False
detection,onnxrt,od-8220_onnxrt_coco_edgeai-mmdet_yolox_s_lite_640x640_20220221_model_onnx,ONR-OD-8220-yolox-s-lite-mmdet-coco-640x640,41346515,True,True
detection,onnxrt,od-8270_onnxrt_coco_edgeai-mmdet_yolox_pico_lite_320x320_20230410_model_onnx,ONR-OD-8270-yolox-pico-lite-mmdet-coco-320x320,6150365,True,True
detection,onnxrt,od-8410_onnxrt_widerface_edgeai-mmdet_yolox_tiny_lite_416x416_20220318_model_onnx,ONR-OD-8410-yolox-tiny-lite-mmdet-widerface-416x416,23394318,True,True
detection,onnxrt,od-8420_onnxrt_widerface_edgeai-mmdet_yolox_s_lite_640x640_20220307_model_onnx,ONR-OD-8420-yolox-s-lite-mmdet-widerface-640x640,41721528,True,True
detection,onnxrt,od-8800_onnxrt_coco_scaled-yolov4-gplv3_scaled-yolov4-csp_lite_640x640_20240220_model_onnx,od-8800_onnxrt_coco_scaled-yolov4-gplv3_scaled-yolov4-csp_lite_640x640_20240220_model_onnx,217793966,False,False
detection,onnxrt,od-8810_onnxrt_coco_edgeai-mmyolo-gplv3_yolov5_nano-v61_lite_640x640_20240329_model_onnx,od-8810_onnxrt_coco_edgeai-mmyolo-gplv3_yolov5_nano-v61_lite_640x640_20240329_model_onnx,8962221,False,False
detection,onnxrt,od-8820_onnxrt_coco_edgeai-mmyolo-gplv3_yolov5_small-v61_lite_640x640_20240329_model_onnx,od-8820_onnxrt_coco_edgeai-mmyolo-gplv3_yolov5_small-v61_lite_640x640_20240329_model_onnx,33585040,False,False
detection,onnxrt,od-8850_onnxrt_coco_edgeai-mmyolo-gplv3_yolov7_tiny_lite_640x640_20230830_model_onnx,od-8850_onnxrt_coco_edgeai-mmyolo-gplv3_yolov7_tiny_lite_640x640_20230830_model_onnx,28919766,False,False
detection,onnxrt,od-8860_onnxrt_coco_edgeai-mmyolo-gplv3_yolov7_large_lite_640x640_20240119_model_onnx,od-8860_onnxrt_coco_edgeai-mmyolo-gplv3_yolov7_large_lite_640x640_20240119_model_onnx,172032833,False,False
detection,onnxrt,od-8870_onnxrt_coco_edgeai-mmyolo-gplv3_yolov8_nano_lite_640x640_20231118_model_onnx,od-8870_onnxrt_coco_edgeai-mmyolo-gplv3_yolov8_nano_lite_640x640_20231118_model_onnx,14709489,False,False
detection,onnxrt,od-8880_onnxrt_coco_edgeai-mmyolo-gplv3_yolov8_small_lite_640x640_20231117_model_onnx,od-8880_onnxrt_coco_edgeai-mmyolo-gplv3_yolov8_small_lite_640x640_20231117_model_onnx,51252335,False,False
detection,onnxrt,od-8890_onnxrt_coco_edgeai-mmyolo-gplv3_yolox_tiny_lite_416x416_20231127_model_onnx,od-8890_onnxrt_coco_edgeai-mmyolo-gplv3_yolox_tiny_lite_416x416_20231127_model_onnx,23539954,False,False
detection,onnxrt,od-8900_onnxrt_coco_edgeai-mmyolo-gplv3_yolox_small_lite_640x640_20240319_model_onnx,od-8900_onnxrt_coco_edgeai-mmyolo-gplv3_yolox_small_lite_640x640_20240319_model_onnx,41378159,False,False
detection,onnxrt,od-8950_onnxrt_coco_mmdet_centernet_r18_crop512_onnx,ONR-OD-8950-CenterNet-r18-coco-672x448,64627038,False,False
detection,onnxrt,od-8970_onnxrt_coco_edgeai-mmdet_efficientdet_effb0_bifpn_lite_512x512_20240612_model_onnx,ONR-OD-8970-efficientDet-b0-bifpn-lite-coco-512x512,20364659,False,False
detection,onnxrt,od-9202_onnxrt_coco_edgeai-mmdet_yolov7_l_coco_lite_640x640_20250109_model_onnx,ONR-OD-9202-yolov7-l-lite-mmdet-coco-640x640,171976207,False,False
detection,onnxrt,od-9203_onnxrt_coco_edgeai-mmdet_yolov7_l_coco_orig_640x640_20250109_model_onnx,ONR-OD-9203-yolov7-l-mmdet-coco-640x640,156183386,False,False
detection,onnxrt,od-9206_onnxrt_coco_edgeai-mmdet_rtmdet_m_coco_lite_640x640_20250404_model_onnx,ONR-OD-9206-rtmdet-m-lite-mmdet-coco-640x640,125264570,True,True
detection,onnxrt,od-9207_onnxrt_coco_edgeai-mmdet_rtmdet_m_coco_orig_640x640_20250310_model_onnx,ONR-OD-9207-rtmdet-m-orig-mmdet-coco-640x640,125800038,True,True
detection,onnxrt,od-9208_onnxrt_coco_edgeai-mmdet_rtmdet_l_coco_orig_640x640_20250310_model_onnx,ONR-OD-9208-rtmdet-l-orig-mmdet-coco-640x640,261568422,True,True
keypoint_detection,onnxrt,kd-7060_onnxrt_coco_edgeai-yolox_yolox_s_pose_ti_lite_640_20220301_model_onnx,ONR-KD-7060-human-pose-yolox-s-640x640,46622029,True,True
keypoint_detection,onnxrt,kd-7070_onnxrt_coco_edgeai-mmpose_yoloxpose_tiny_lite_416x416_20240808_model_onnx,ONR-KD-7070-yoloxpose_tiny_lite_416x416_20240808_model,28195824,False,False
keypoint_detection,onnxrt,kd-7080_onnxrt_coco_edgeai-mmpose_yoloxpose_s_lite_coco-640x640_20250119_model_onnx,ONR-KD-7080-yoloxpose_s_lite_coco-640x640_20250119_model,49708005,False,False
object_6d_pose_estimation,onnxrt,6dpose-7200_onnxrt_ycbv_edgeai-yolox_yolox_s_object_pose_ti_lite_640x480_57p75_onnx,ONR-6DPOSE-7200-yolox-s-6d-object_pose-640x480,54158252,True,False
segmentation,tflitert,ss-2580_tflitert_ade20k32_mlperf_deeplabv3_mnv2_ade20k32_float_tflite,TFL-SS-2580-deeplabv3_mobv2-ade20k32-mlperf-512x512,10993728,True,True
segmentation,tvmdlr,ss-5710_tvmdlr_cocoseg21_edgeai-tv_deeplabv3plus_mobilenetv2_edgeailite_512x512_20210405_onnx,TVM-SS-5710-deeplabv3lite-mobv2-cocoseg21-512x512,32088328,True,True
segmentation,onnxrt,ss-7618_onnxrt_ti-robokit_edgeai-tv_deeplabv3plus_mnetv2_edgeailite_robokit_768x432_qat-p2_onnx,ONR-SS-7618-deeplabv3lite-mobv2-qat-robokit-768x432,5548972,True,True
segmentation,onnxrt,ss-8610_onnxrt_ade20k32_edgeai-tv_deeplabv3plus_mobilenetv2_edgeailite_512x512_20210308_outby4_onnx,ONR-SS-8610-deeplabv3lite-mobv2-ade20k32-512x512,11973032,True,True
segmentation,onnxrt,ss-8630_onnxrt_ade20k32_edgeai-tv_unet_aspp_mobilenetv2_edgeailite_512x512_20210306_outby2_onnx,ONR-SS-8630-unetlite-aspp-mobv2-tv-ade20k32-512x512,12245833,True,False
segmentation,onnxrt,ss-8650_onnxrt_ade20k32_edgeai-tv_fpn_aspp_mobilenetv2_edgeailite_512x512_20210306_outby4_onnx,ONR-SS-8650-fpnlite-aspp-mobv2-ade20k32-512x512,13204548,False,False
segmentation,onnxrt,ss-8670_onnxrt_ade20k32_edgeai-tv_fpn_aspp_mobilenetv2_1p4_edgeailite_512x512_20210307_outby4_onnx,ONR-SS-8670-fpnlite-aspp-mobv2-1p4-ade20k32-512x512,25001733,False,False
segmentation,onnxrt,ss-8690_onnxrt_ade20k32_edgeai-tv_fpn_aspp_regnetx400mf_edgeailite_384x384_20210314_outby4_onnx,ONR-SS-8690-fpnlite-aspp-regnetx400mf-ade20k32-384x384,28374375,True,True
segmentation,onnxrt,ss-8700_onnxrt_ade20k32_edgeai-tv_fpn_aspp_regnetx800mf_edgeailite_512x512_20210312_outby4_onnx,ONR-SS-8700-fpnlite-aspp-regnetx800mf-ade20k32-512x512,38863248,False,False
segmentation,onnxrt,ss-8710_onnxrt_cocoseg21_edgeai-tv_deeplabv3plus_mobilenetv2_edgeailite_512x512_20210405_onnx,ONR-SS-8710-deeplabv3lite-mobv2-cocoseg21-512x512,11923822,True,False
segmentation,onnxrt,ss-8720_onnxrt_cocoseg21_edgeai-tv_fpn_aspp_regnetx800mf_edgeailite_512x512_20210405_onnx,ONR-SS-8720-deeplabv3lite-regnetx800mf-cocoseg21-512x512,38809366,True,False
segmentation,onnxrt,ss-8730_onnxrt_cocoseg21_edgeai-tv_deeplabv3_mobilenet_v3_large_lite_512x512_20210527_onnx,ONR-SS-8730-deeplabv3-mobv3-lite-large-cocoseg21-512x512,42037452,False,False
segmentation,onnxrt,ss-8740_onnxrt_cocoseg21_edgeai-tv_lraspp_mobilenet_v3_large_lite_512x512_20210527_onnx,ONR-SS-8740-lraspp-mobV3-ti-lite-large-cocoseg21-512x512,8253460,True,False
visual_localization,onnxrt,visloc-7500_onnxrt_carla_edgeai-tv_tiad_dkaze_carla_768x384_model_onnx,ONR-VISLOC-7500-tiad-dkaze-carla-768x384,5464560,False,False
